id:ID(Talent-ID),name,profile_path,:LABEL
2226,Sydney Pollack,/zxkoU2diKtvarV1Qk4z9He2lJj9.jpg,Talent
9152,Patrick Doyle,/mo87kZiHO5gsoax80Us0S2CPmS.jpg,Talent
7021,Michael Coulter,,Talent
948439,Laurie Borg,,Talent
4489,Steve Oedekerk,/qUkJ4GbyAdloVjVxCUlxLT23wIe.jpg,Talent
29901,Jack Bernstein,,Talent
4489,Steve Oedekerk,/qUkJ4GbyAdloVjVxCUlxLT23wIe.jpg,Talent
4507,Gary Barber,/hVdFCnxL2F1wuq7BdgMoxiGBzis.jpg,Talent
57097,Bob Israel,,Talent
57098,Andrew G. La Marca,,Talent
4700,James G. Robinson,,Talent
43393,Robert Folk,,Talent
6490,Donald E. Thorin,,Talent
14457,Malcolm Campbell,,Talent
1007395,J.J. Makaro,,Talent
